TransdSpline;DirSpline;
-64.668463453654 -0.443359374999842 127.51406254622 -65.3060403483147 -0.443359374999842 93.7224871292031 -74.8696937682252 -0.443359374999842 52.2799889762575 -78.6951551361894 -0.443359374999842 -6.37708533252696 -76.1448475575466 -0.443359374999842 -51.6450448534367;49.5398692278023 -0.443359374999842 126.378183590577 45.0768309651774 -0.443359374999842 -52.7809238090795;
-46.3769254998422 50.1339594153981 126.375763745408 -47.9832445780073 52.4314203041027 -125.92278733969;-0.864551618497412 -14.9607657645678 125.441324667315 -0.864551618497412 -14.9607657645678 -124.053909183504;
-72.3986876111279 -43.5080489908104 126.772949009953 -74.6261476584093 -44.7456858019731 -125.498849019904;-7.802346239969 -7.61658146709395 126.772949009953 -9.47294127542999 -8.54480907546592 -121.039499054729
